song_id,title,genre,Рік запису,Хто записав,Місце запису,Респондент,Вік респондента/рік народження
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ШИРОКАЯ ВУЛИЧЕНЬКА,балади,,,,,
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,КОЛО МЛИНА КРЕМІНИНА,балади,,,,,
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,НА ДЖУРИНСЬКІМ МОСТІ,балади,,,,,
492_Dmytrenko_Yefremova_2014_Khmelnytsky_region,СЛАВНИЙ ГОРОД ЛЕБЕДИН,балади,,,,,
496_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"ЗАЙДИ, МІСЯЦЬ, ЗАЙДИ, ЯСНИЙ",балади,,,,,
505_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"ОЙ КАЗАЛА-С, ДІВЧИНОНЬКО",балади,,,,,
506_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ЧЕРЕШЕНЬКА ТА Й ВИШЕНЬКА,балади,,,,,
507_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ЧЕРЕШЕНЬКА – НЕ ВИШЕНЬКА,балади,,,,,
508_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ ЗАЇРЖАВ ЗАГНУЗДАНИЙ,балади,,,,,
512_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ЧЕРВОНА РУЖА,балади,,,,,
516_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ КОЛИ Б Я ЗНАЛА,балади,,,,,
520_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОСІНЬ НАША ДОВГАЯ,балади,,,,,
526_Dmytrenko_Yefremova_2014_Khmelnytsky_region,А ДІВЧИНА ГАЛЬКА,балади,,,,,
527_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ У ПОЛІ НА РОЗДОЛЛІ,балади,,,,,
528_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ ДВА БРАТЧИКИ,балади,,,,,
530_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"СВІТИ, МІСЯЧЕНЬКУ",балади,,,,,
531_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ ТАМ БІЛЯ РІЧКИ,балади,,,,,
532_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"ЇХАВ КОЗАК, ЇХАВ",балади,,,,,
533_Dmytrenko_Yefremova_2014_Khmelnytsky_region,Я ДУМАЛА,балади,,,,,
534_Dmytrenko_Yefremova_2014_Khmelnytsky_region,Я ДУМАЛА,балади,,,,,
535_Dmytrenko_Yefremova_2014_Khmelnytsky_region,Я Ж ДУМАЛА,балади,,,,,
536_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ТИХИЙ ДУНАЙ,балади,,,,,
539_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ У САДОЧКУ,балади,,,,,
540_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ЗАШУМІВ ТЕРЕН,балади,,,,,
546_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ЧЕРВОНА КАЛИНО,балади,,,,,
547_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ЧЕРВОНА КАЛИНО,балади,,,,,
548_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ У ЛУЗІ НА КАЛИНІ,балади,,,,,
549_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ У ЛУЗІ ПРИ КАЛИНІ,балади,,,,,
550_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ У ЛІСІ НА ДУБОЧКУ,балади,,,,,
551_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"ЧИ ТОБІ, КОВАЛЮ",балади,,,,,
552_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"ОЙ КОВАЛЕ, КОВАЛЕНЬКУ",балади,,,,,
553_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"Ой ти, ковалю",балади,,,,,
554_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"КОВАЛЮ, КОВАЛЮ",балади,,,,,
564_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ ЗА ЩО ТИ,балади,,,,,
566_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ЙА В ГОРОДІ БОГУСЛАВІ,балади,,,,,
576_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ХОДИТ ІВАН ПОНАД ЛИМАН,балади,,,,,
577_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ХОДИ ІВАН ПОНАД ДУНАЙ,балади,,,,,
604_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ ЗА ГАЙОМ ЗЕЛЕНЕНЬКИМ,балади,,,,,
611_Dmytrenko_Yefremova_2014_Khmelnytsky_region,У ПОЛЮ МОГИЛА,балади,,,,,
634_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"ОЙ З-ЗА ГОРИ, ГОРИ",балади,,,,,
574_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"ОЙ ТИ, САД, ТИ МІЙ САД",балади,,,,,
445_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ ДЕ Ж ЖЕ ТИ НОЧУВАВ,балади,,,,,
465_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ПОСЛАВ МЕНЕ МИЛИЙ,балади,,,,,
466_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ПІСЛАВ МЕНЕ МІЙ МИЛЕНЬКИЙ,балади,,,,,
467_Dmytrenko_Yefremova_2014_Khmelnytsky_region,НА ГОРОДІ БАРВІНЕЦЬ,балади,,,,,
468_Dmytrenko_Yefremova_2014_Khmelnytsky_region,НА ГОРОДІ ЧОРНОБИЛЬ,балади,,,,,
470_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"ОЙ ОРЕ СЕМЕН, ОРЕ",балади,,,,,
471_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"ПОКИНЬ, ЯСЮ, МАТІР",балади,,,,,
472_Dmytrenko_Yefremova_2014_Khmelnytsky_region,А В НАШІЙ КРАЇНІ,балади,,,,,
473_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЖЕНИВСЯ СТАРИЙ СЕМЕН,балади,,,,,
474_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ ТАМ КОЛО БРОДУ,балади,,,,,
475_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ЙА ЦЯ НІЧКА,балади,,,,,
476_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ У ЛУЗІ,балади,,,,,
477_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ДОБРИЙ ВЕЧІР,балади,,,,,
478_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ НА ГОРІ,балади,,,,,
479_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ НА ГОРІ,балади,,,,,
480_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ПОЖЕНУ Я ТОВАР НА ЯР,балади,,,,,
481_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ ЗАЙМУ Я ВОЛИ В ПОЛИ,балади,,,,,
482_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ З-ЗА ГОРИ СОНЦЕ СХОДИ,балади,,,,,
483_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ПОЖЕНУ Я ТОВАР НА ЯР,балади,,,,,
484_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"і ОЙ ЧИ РАНО, ЧИ НЕ РАНО",балади,,,,,
485_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ ЗАЦВІЛА СИНЯ КВІТКА,балади,,,,,
486_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ РАНЕНЬКО СОНЦЕ СХОДИТЬ,балади,,,,,
487_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ПО САДОЧКУ ХОЖУ,балади,,,,,
488_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ЗА ГОРАМИ СОНЦЕ ПАЛАЄ,балади,,,,,
489_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"В САДУ, ВИШНЕВОМУ САДОЧКУ",балади,,,,,
490_Dmytrenko_Yefremova_2014_Khmelnytsky_region,й ОЙ З-ПІД МОСТА ГЛИБОКО,балади,,,,,
491_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"ОЙ ДАЛЕКО, ДАЛЕКО",балади,,,,,
510_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ НА ГОРІ СОКІЛ,балади,,,,,
513_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ ВИЇХАВ КОЗАЧЕНЬКО,балади,,,,,
514_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ ВИЇХАВ КОЗАЧЕНЬКО,балади,,,,,
515_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"ОЙ СКАЖИ ТИ, ОЙ СКАЖИ ТИ",балади,,,,,
517_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ КОЛИ Б Я ЗНАЛА,балади,,,,,
518_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ ЯКБИ Я ЗНАЛА,балади,,,,,
519_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"ОЙ СЛАБА Я, МІЙ МИЛЕНЬКИЙ",балади,,,,,
521_Dmytrenko_Yefremova_2014_Khmelnytsky_region,"ОЙ ТИ, ОСІНЬ ДОВГАЯ",балади,,,,,
524_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ НА ГОРІ СОСНА,балади,,,,,
525_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ЇХАЛИ КОЗАКИ,балади,,,,,
541_Dmytrenko_Yefremova_2014_Khmelnytsky_region,КОСИТЬ ВАСИЛЬ СІНО,балади,,,,,
542_Dmytrenko_Yefremova_2014_Khmelnytsky_region,і В ЗЕЛЕНІЙ ДУБИНІ,балади,,,,,
543_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ОЙ У ЧИСТІМ ПОЛІ,балади,,,,,
544_Dmytrenko_Yefremova_2014_Khmelnytsky_region,ВАСИЛЬ СІНО КОСИТЬ,балади,,,,,
556_Dmytrenko_Yefremova_2014_Khmelnytsky_region,НА ЯПОНСКІМ БЄРЕГУ,балади,,,,,
