song_id,pos,title,Text
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,1,ШИРОКАЯ ВУЛИЧЕНЬКА,Широкая вуличенька
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,2,,"Від прута до прута,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,3,,"Дурна дівка, нерозумна,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,4,,Що йде за рекрута.
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,5,,Молодого рекрутоньку
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,6,,"В прийом викликають,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,7,,Молодую дівчиноньку
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,8,,Сльози обливають.
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,9,,"– Ой дівчино, дівчинонько,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,10,,"Якої ж ти віри,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,11,,"Чом ти тоді не плакала,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,12,,Як я йшов до міри?
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,13,,"Чом ти тоді не плакала,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,14,,"Чом не голосила,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,15,,"Чом за мене, молодого,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,16,,Бога не просила?
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,17,,"– Ой плакала ж я, плакала"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,18,,"Та ще й голосила,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,19,,"Я за тебе, молодого,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,20,,Бога не впросила.
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,21,,"– Ой піду я в чисте поле,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,22,,"Терном поколишу,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,23,,"На кого ж я, товаришу,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,24,,Цю дівчину лишу?
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,25,,"– Ой на мене, товаришу,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,26,,"На мене, на мене,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,27,,А я буду доглядати
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,28,,Ще й краще за тебе.
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,29,,"– Ой доглядай, товаришу,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,30,,"Хорошої дівки,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,31,,"А я з війська повернуся,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,32,,Нап’ємся горілки.
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,33,,Повернувся козаченько
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,34,,"До нової хати,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,35,,Мале дитя невеличке
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,36,,Вчиться рачкувати.
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,37,,– Бодай тебе доглядала
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,38,,"Лихая година,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,39,,Десь взялася в дівчиноньки
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,40,,Малая дитина.
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,41,,"– Не журися, козаченьку,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,42,,"Цею дівчиною,"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,43,,"За рік, за два, за чотири"
462_Dmytrenko_Yefremova_2014_Khmelnytsky_region,44,,Буде прислугою.
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,1,КОЛО МЛИНА КРЕМІНИНА,"Коло млина кремінина,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,2,,Зацвіла калина;
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,3,,Навчилася в саду спати
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,4,,Молода дівчина.
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,5,,Навчилася в саду спати
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,6,,"Межи яблінками,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,7,,Щоби мати розмовочку
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,8,,Всю ніч з парубками.
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,9,,"– Пусти мене, моя мамцю,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,10,,"В вишнів сад гуляти, –"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,11,,"Перші півні перепіют,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,12,,Я ввійду до хати.
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,13,,"Піют півні, піют другі"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,14,,Ще й курка сокоче.
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,15,,"Кличе мати вечеряти,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,16,,А дочка не хоче.
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,17,,"– Вечеряй же, моя мамцю,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,18,,"Що-с си наварила,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,19,,"Бо вже мені, моя мамцю,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,20,,Вечеря не мила.
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,21,,"Ішли хлопці попід садок,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,22,,"Почали співати,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,23,,"А дівчині жалко стало,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,24,,Та й стала плакати.
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,25,,"– Ой дівчино-дівчинонько,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,26,,Якої ти віри?
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,27,,"Чому-с тогди не плакала,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,28,,Як я йшов до міри?
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,29,,Чому-с тогди не плакала
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,30,,"Та й не голосила,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,31,,"Була би-с ня, молодого,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,32,,З війська випросила.
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,33,,"– Ой ти, брате-товаришу,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,34,,"Ти мій товаришу,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,35,,"На кого ж я, товаришу,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,36,,Своє дівча лишу?
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,37,,"– Ой на мене, товаришу,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,38,,"На мене,на мене,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,39,,А я буду доглядати
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,40,,Ще ліпше від тебе.
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,41,,"– Доглядай ми, товаришу,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,42,,"Доглядай ми’ дівки,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,43,,"Як я з війська повернуся, –"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,44,,Нап’ємся горівки.
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,45,,"Козак з війська повертає,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,46,,"Вступаає до хати,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,47,,А в дівчини мале дитя
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,48,,Вчиться рачкувати.
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,49,,– Бодай же ти доглядала
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,50,,"Лихая година,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,51,,Де ся взяла у дівчини
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,52,,Маленька дитина?
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,53,,"Налетіли гуси з броду,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,54,,"Та всьо сиві, сиві,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,55,,"Хто не знає закохання,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,56,,Той в Бога щасливий.
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,57,,"Налетіли гуси з броду,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,58,,"Та всьо білі, білі,"
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,59,,Це нашому закоханню
463_Dmytrenko_Yefremova_2014_Khmelnytsky_region,60,,Всього дві неділі.
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,1,НА ДЖУРИНСЬКІМ МОСТІ,"На Джуринськім мості,"
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,2,,"На поповім тоці,"
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,3,,"Ох, там Петрусьо"
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,4,,Пшеницю молотит.
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,5,,Ох і там Петрусьо
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,6,,"Пшеницю молотит,"
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,7,,"До него вельможна,"
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,8,,Вельможна приходит.
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,9,,"– Ой покинь, Петрусю,"
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,10,,"Пшеницю молотити,"
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,11,,Ой ходи зо мною
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,12,,Мед-горівку пити!
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,13,,"– Ой як же с тобою,"
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,14,,С тобою ходити:
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,15,,"Йа в тебе шати, –"
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,16,,В мене чугаїна!
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,17,,– А я свої шати
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,18,,"З болотом мішаю, –"
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,19,,"Таки тя, Петрусю,"
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,20,,Вірненько кохаю!
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,21,,Йа взяла Петруся
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,22,,"За біленьку ручку,"
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,23,,Повела Петруся
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,24,,В новую світлицю.
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,25,,Привела Петруся
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,26,,"В новую світлицю,"
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,27,,"Налляла вина,"
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,28,,Вина стаканицю.
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,29,,"Вельможна думала,"
469_Dmytrenko_Yefremova_2014_Khmelnytsky_region,30,,"Шо слуги не знают,"
