song_id;title;genre;Рік запису;Хто записав;Місце запису;Респондент;Вік респондента/рік народження
1А_Grushevska_1927_Tom1;;дума;;М. Костомаров;м. Охтирка;;
1А1_Grushevska_1927_Tom1;Невольники;дума;;М. Максимович;;;
1Б_Grushevska_1927_Tom1;Про невольниковъ;дума;;А. Метлинський;c. Сосниця ( Чернігівщина);кобзар Андрія Шута;
1В_Grushevska_1927_Tom1;;дума;1874 р.;М. Ніговський ;м. Вільшана Богодухівського повіту Харківської губернії;кобзар Петро Колибаба;
1Г_Grushevska_1927_Tom1;;дума;1880-1882 рр.;;с. Калюженці Прилуцький повіт;кобзар Остап Вересай;
1Ґ_Grushevska_1927_Tom1;"„Плач невольників"".";дума;1870-ті рр.;Ф. Колесса;Полтавщина;Сластьон О.;
1Д_Grushevska_1927_Tom1;"Плач невольників („невольницький плач"").";дума;1909 р.; О. Сластьон;с. Сорочинці Миргородський повіт;кобзар М. Кравченко;
1Х_Grushevska_1927_Tom1;Невольницький плач.;дума;1874 р.;П. Куліш;;;
2А_Grushevska_1927_Tom1;Плачъ невольника;дума;1832 р.;;с. Ягодина на Полтавщині;;
2Б_Grushevska_1927_Tom1;;дума;;І. П.Новицький ;;;
2В_Grushevska_1927_Tom1;Невольницький плач;дума;1904; М. Сперанский;;кобзар Терешко Пархоменко;
2Г_Grushevska_1927_Tom1;Плач невольника („невольницький плач“).;дума;1909 р.;Ф. Колесса;Сорочинці Миргородський повіт;кобзар М. Кравченко;
2Ґ_Grushevska_1927_Tom1;Плач невольника;дума;1909 р.;Ф. Колесса;Лелюхівка, Кобеляцький повіт;лірник І. М. Скубій;
2Х_Grushevska_1927_Tom1;Невольницькій плач;дума;;П. Куліш;;;
3.1_Grushevska_1927_Tom1;Иванъ Богуславецъ.;дума;;;;;
3.2_Grushevska_1927_Tom1;;дума;;;;;
3А_Grushevska_1927_Tom1;Иванъ Богославецъ, Гетманъ запорожскій.;дума;1808 р.;П. Житецький;Миргородщина;кобзар Іван;
4А_Grushevska_1927_Tom1;Дума о Марусѣ Богуславкѣ.;дума; 1856 р.;М. Ніговський;Красний Кут Богодухівського пов. на Харківщині;кобзар Ригоренко;
4Б_Grushevska_1927_Tom1;;дума;;А. Метлинський;Зіньківський пов. на Полтавщині;;
4В_Grushevska_1927_Tom1;Маруся Попівна Богуславка.;дума;30.01.1886 р.;П. Мартинович;Костянтиноград;лірник Степан Чекан;
4Г_Grushevska_1927_Tom1;Про Марусю Богуславку;дума;1910 р.;Ф. Колесса;Сорочинці Миргородський повіт;кобзар Михайло Кравченко;
4Ґ_Grushevska_1927_Tom1;Про Марусю Богославку.;дума;1909 р.;0. Сластьон;Лелюхівка Кобеляцький повіт;лірник І. Скубій;
4Д_Grushevska_1927_Tom1;Про Марусю Богуславку.;дума;;Ф. Колесса;Богодухівський повіт Харківської губернії;кобзар Степан Артемович Пасюга;
5А_Grushevska_1927_Tom1;;дума;1872 р.;М. Костомаров ;;;
5Б_Grushevska_1927_Tom1;Невольницька.;дума;1873 р.;;с. Калюженці Прилуцький повіт;кобзар Остап Вересай;
5В_Grushevska_1927_Tom1;Про сокола. Невольницька;дума;1870-х рр.;П. Мартинович;Лохвиця;Іван Кравченко-Крюковський;
6А_Grushevska_1927_Tom1;Кишка Самыйло.;дума;І або ІІ десятиліття XIX ст.;П. Житецький; Миргородський пов.;;
