song_id;title;genre;Рік запису;Хто записав;Місце запису;Респондент;Вік респондента/рік народження
1.1_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;;дума;поч. 1840-х рр.;Костомаров М.;м. Охтирка Харківської губернії (нині Сумська обл.);бандурист;
1.1a_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;НЕВОЛЬНИКИ;дума;поч. 1840-х рр.;Костомаров М.;м. Охтирка Харківської губернії (нині Сумська обл.);бандурист;
1.2_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;;дума;поч. 1950-х;Ніговський М.;м. Вільшана Богодухівського повіту Харківської губернії (нині Харкіського району);Полибаба П.;
1.3_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ДУМА НЕВОЛЬНИЦЬКА (Про каторгу бесурмлянську);дума;1880-ті рр.;Ухач-Охорович К.;с. Сокиринці Прилуцького повіту Полтавської губернії (нині Прилуцький район Чернігівська область);Вересай О.;1803 р.н.
1.4_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;НЕВОЛЬНЫЦЬКА;дума;3 липня 1887 р.;Горленко В., Мартинович П.;с. Дейкалівка Зіньківського повіту Полтавської губернії (нині Полтавський район);Кулик М. (Гордієць);бл. 1817 р.
1.5_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;НЕВОЛЬНЫЦЬКА;дума;середина 1880-рр.;Горленко В.;с. Дейкалівка Зіньківського повіту Полтавської губернії (нині Полтавський район);Кулик М. (Гордієць);бл. 1817 р.
1.6_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;БИДНЫХЪ НЕВОЛЪНЫКИВЪ ПИСЪНЯ;дума;21 січня 1903 р.;Мартинович П.;Костянтиноград (нині Красноград),  Красноградського району Харківської області;Бондаренко М.;1834 р.
1.7_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;БУРЯ НА ЧОРНОМУ МОРІ;дума;1903 р.;Лисенко М.;Миргород Полтавської губернії (нині Миргородського району Полтавської області);Сластіон О.;1855 р.
1.8_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;;дума;1903 р.;Линьова Є.;;Сластіон О.;1855 р.
1.9_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;;дума;1903 р.;Линьова Є.;с. Сокиринці Прилуцького повіту Полтавської губернії (нині Прилуцький район Чернігівська область);Кравченко М.;1858 р.
1.10_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;НЕВОЛЬНЫЦЬКА ПИСЬНЯ;дума;1903 р.;Мартинович П.;Костянтиноград (нині Красноград),  Красноградського району Харківської області;Бондаренко М.;1834 р.
1.11_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;БЕСЩАСНЫХЪ НЕВОЛЬНЫКИВЪ ПИСЬНЯ;дума;31 січня 1903 р.;Мартинович П.;Костянтиноград (нині Красноград),  Красноградського району Харківської області;Бондаренко М.;1834 р.
1.12_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО БИДНЫХЪ НЕВОЛЬНЫКИВЪ РОССКАЗЪ;дума;12 березня 1903 р.;Мартинович П.;Костянтиноград (нині Красноград),  Красноградського району Харківської області;Бондаренко М.;1834 р.
1.13_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;;дума;поч. ХХ ст.;Сластіон О.;с. Лелюхівка Кобеляцького повіту Полтавської губернії (нині Новосанжарського району Полтавської області);Скубій І.;1858 р.
1.14_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПЛАЧ НЕВОЛЬНИКІВ;дума;1908 р.;Колесса Ф.;Миргород Полтавської губернії (нині Миргородського району Полтавської області);Сластіон О.;1855 р.
1.15_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПЛАЧ НЕВОЛЬНИКІВ (НЕВОЛЬНИЦЬКИЙ ПЛАЧ);дума;1909 р.;Сластіон О.;с. Великі Сорочинці Миргородського повіту Полтавської губернії;Кравченко М.;1858 р.
1.16_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПЛАЧ НЕВОЛЬНИКІВ НА ТУРЕЦЬКІЙ КАТОРЗІ;дума;поч. ХХ ст.;Яворницький Д.;Богодухівський повіт Харківської губернії (нині Харківської області);Пасюга С.;1862 р.
