song_id,title,genre,Рік запису,Хто записав,Місце запису,Респондент,Вік респондента/рік народження
1_Hrytsa_2007_Ukrainski_narodni_dumy,ПРОЩАННЯ КОЗАКА З РОДИНОЮ,дума,,,,,
2_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО ВДОВУ І ТРЬОХ СИНІВ,дума,,,,,
3_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО ХВЕДОРА БЕЗРОДНОГО,дума,поч. 70-х рр. ХІХ ст.,Лисенко М.,с. Калюжинці Прилуцького повіту Полтавської губернії (нині Прилуцького району Чернігівської області),Вересай О.,
4_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО УДОВУ І ТРЬОХ СИНІВ,дума,поч. 70-х рр. ХІХ ст.,Лисенко М.,с. Калюжинці Прилуцького повіту Полтавської губернії (нині Прилуцького району Чернігівської області),Вересай О.,
5_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО ХМЕЛЬНИЦЬКОГО ТА БАРАБАША,дума,поч. 70-х рр. ХІХ ст.,Лисенко М.,м. Ніжин,Братиця П. (учень Шути А.),
6_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО ОЗОВСЬКИХ БРАТІВ,дума,поч. 80-х рр. ХІХ ст.,,с. Великі Сорочинці Миргородського повіту Полтавської губернії,Кравченко М.,
7_Hrytsa_2007_Ukrainski_narodni_dumy,ІВАН БОГУСЛАВЕЦЬ,дума,,Лисенко М.,,"забродчик ""Жук""",
8_Hrytsa_2007_Ukrainski_narodni_dumy,ПЛАН НЕВОЛЬНИКІВ,дума,1903 р.,Лисенко М.,,Сластіон О.,
9_Hrytsa_2007_Ukrainski_narodni_dumy,НЕВОЛЬНИЦЬКИЙ ПЛАЧ (ПОЧАТОК),дума,1903 р.,"Сластіон О., Ліньова Є.",,Сластіон О.,
10_Hrytsa_2007_Ukrainski_narodni_dumy,НЕВОЛЬНИЦЬКА ДУМА,дума,,,,Кравченко М.,
11_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО ТРЬОХ БРАТІВ АЗОВСЬКИХ,дума,,,,Кравченко М.,
12_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО БІДНУ УДОВУ І ТРЬОХ СИНІВ,дума,,,,Кравченко М.,
13_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО ХВЕДОРА БЕЗРІДНОГО,дума,,Бакалов Г.. Данилов Д. (студенти Сперанського М),с. Волосковці Сосницького повіту Чернігівської області (нині Корюківський район),Пархоменко Т.,
14_Hrytsa_2007_Ukrainski_narodni_dumy,ВТЕЧА ТРЬОХ БРАТІВ З АЗОВА,дума,,Бакалов Г.. Данилов Д. (студенти Сперанського М),с. Волосковці Сосницького повіту Чернігівської області (нині Корюківський район),Пархоменко Т.,
15_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО ВДОВУ І ТРЬОХ СИНІВ,дума,19 липня 1902 р.,Маслов С.,Іллінська ярмарка в містечку Ичні Берзенського повіту на Чернігівщині (нині м. Ічня Прилуцького району Чернігівської області),Вахно г.,
16_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО СМЕРТЬ ХМЕЛЬНИЦЬКОГО,дума,1919 р.,Ревуцький Д.,"записано у м. Полтаві, респондент із с. Мурафа Богодухівського повіту Харківської губернії",Кучугура-Кучеренко І.,
17_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО ПІХОТИНЦЯ (ПРО ОЗІВСЬКИХ БРАТІВ),дума,1908 р.,Колесса Ф.,м. Миргород,Кравченко М.,
17_варіант_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО ПІХОТИНЦЯ (ПРО ОЗІВСЬКИХ БРАТІВ),дума,,,,Кравченко М.,
18_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО МАРУСЮ БОГУСЛАВКУ,дума,1908 р.,Колесса Ф.,м. Миргород,Кравченко М.,
19_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО САМАРСЬКИХ БРАТІВ,дума,1908 р.,Колесса Ф.,,Кравченко М.,
20_Hrytsa_2007_Ukrainski_narodni_dumy,ПЛАЧ НЕВОЛЬНИКА (ПОЧАТОК),дума,1908 р.,Колесса Ф.,,Кравченко М.,
21_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО УДОВУ (ПОЧАТОК),дума,1908 р.,Колесса Ф.,,Кравченко М.,
22_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО УДОВУ (ВАРІАНТ),дума,1909 р.,Сластіон О.,,Кравченко М.,
23_Hrytsa_2007_Ukrainski_narodni_dumy,ПЛАЧ НЕВОЛЬНИКІВ,дума,1909 р.,Сластіон О.,,Кравченко М.,
24_Hrytsa_2007_Ukrainski_narodni_dumy,ПРО СЕСТРУ І БРАТА (ПОЧАТОК),дума,,Сластіон О.,с. Черевки Миргородського повіту Полтавської губернії,Барь О.,
