song_id,title,genre,Рік запису,Хто записав,Місце запису,Респондент,Вік респондента/рік народження
1_Kolessa_Melodii_1969,"Про озівських братів (""Про піхотинця"")",дума,1908 р.,,с. Сорочинці,Кобзар М. Кравченко,1858 р.
2_Kolessa_Melodii_1969,«Про Марусю Богуславку»,дума,1908 р.,,с. Сорочинці,Кобзар М. Кравченко,1858 р.
3_Kolessa_Melodii_1969,«Плач невольників»,дума,1908 р.,,с. Сорочинці,Кобзар М. Кравченко,1858 р.
4_Kolessa_Melodii_1969,«Плач невольника»,дума,1908 р.,,с. Сорочинці,Кобзар М. Кравченко,1858 р.
5_Kolessa_Melodii_1969,«Про самарських братів»,дума,1908 р.,,с. Сорочинці,Кобзар М. Кравченко,1858 р.
6_Kolessa_Melodii_1969,«Про удову»,дума,1908 р.,,с. Сорочинці,Кобзар М. Кравченко,1858 р.
7_Kolessa_Melodii_1969,«Про удову»,дума,1908 р.,,,лірник Антон Скоба,45 р.
8_Kolessa_Melodii_1969,«Про піхотинця»,дума,1908 р.,,,лірник Антон Скоба,45 р.
9_Kolessa_Melodii_1969,«Про піхотинця»,дума,1908 р.,,,Платон Кравченко,
10_Kolessa_Melodii_1969,«Про дівку-бранку»,дума,1908 р.,,с. Сорочинці,Кобзар М. Кравченко,1858 р.
11_Kolessa_Melodii_1969,«Про Олексія Поповича»,дума,1908 р.,,,кобзар Гнат Гончаренко,77 р.
12_Kolessa_Melodii_1969,«Про удову»,дума,1908 р.,,,кобзар Гнат Гончаренко,77 р.
13_Kolessa_Melodii_1969,«Про сестру і брата»,дума,1908 р.,,,кобзар Гнат Гончаренко,77 р.
14_Kolessa_Melodii_1969,«Про сестру і брата»,дума,1908 р.,,"Лелюхівка, Кобеляцький поз.. Полтавської губ",лірник Іван Скубій,50 р.
15_Kolessa_Melodii_1969,«Про самарських братів»,дума,1908 р.,,"Лелюхівка, Кобеляцький поз.. Полтавської губ",лірник Іван Скубій,50 р.
16_Kolessa_Melodii_1969,«Плач невольника»,дума,1908 р.,,"Лелюхівка, Кобеляцький поз.. Полтавської губ",лірник Іван Скубій,50 р.
17_Kolessa_Melodii_1969,«Про Марусю Богуславку»,дума,1908 р.,,"Лелюхівка, Кобеляцький поз.. Полтавської губ",лірник Іван Скубій,50 р.
18_Kolessa_Melodii_1969,«Про Кішку Самійла»,дума,1908 р.,,"Лелюхівка, Кобеляцький поз.. Полтавської губ",лірник Іван Скубій,50 р.
19_Kolessa_Melodii_1969,«Про Олексія Поповича»,дума,1908 р.,,"Лелюхівка, Кобеляцький поз.. Полтавської губ",лірник Іван Скубій,50 р.
20_Kolessa_Melodii_1969,«Ой летить орел»,дума,1908 р.,,"Лелюхівка, Кобеляцький поз.. Полтавської губ",лірник Іван Скубій,50 р.
21_Kolessa_Melodii_1969,Ой їхав козак та й через байрак,дума,1908 р.,,"Лелюхівка, Кобеляцький поз.. Полтавської губ",лірник Іван Скубій,50 р.
22_Kolessa_Melodii_1969,Про смерть Лебеденка від гайдамаків,дума,1908 р.,,"Лелюхівка, Кобеляцький поз.. Полтавської губ",лірник Іван Скубій,50 р.
23_Kolessa_Melodii_1969,Про Саву Чалого.,дума,1908 р.,,"Лелюхівка, Кобеляцький поз.. Полтавської губ",лірник Іван Скубій,50 р.
24_Kolessa_Melodii_1969,Про сестру-отруйницю,дума,1908 р.,,"Лелюхівка, Кобеляцький поз.. Полтавської губ",лірник Іван Скубій,50 р.
