song_id,stanza,position,title,Text
1_Kolessa_Melodii_1969,1,1,"""Про озівських братів"" (""Про піхотинця"")","Ге̒й, у святу̒ неділе̒ньку"
1_Kolessa_Melodii_1969,1,2,,"То ра̒но-поране̒нько,"
1_Kolessa_Melodii_1969,1,3,,"Ге̒й, то не чо̒рні хма̒ри наступа̒ли,"
1_Kolessa_Melodii_1969,1,4,,"Не дробні дощі накра̒пали,"
1_Kolessa_Melodii_1969,1,5,,"Ге̒й, то не сиві тумани й устава̒ли, -"
1_Kolessa_Melodii_1969,1,6,,"Як три бра̒ти з туре̒цької,"
1_Kolessa_Melodii_1969,1,7,,"Бусурме̒нської, тяжко̒ї нево̒лі,"
1_Kolessa_Melodii_1969,1,8,,Із го̒рода Озо̒ва утіка̒ли.
1_Kolessa_Melodii_1969,1,9,,"О й то два бра̒ти кінних,"
1_Kolessa_Melodii_1969,1,10,,"А тре̒тій брат ме̒нчий, піхотинець,"
1_Kolessa_Melodii_1969,1,11,,"За кінними брата̒ми й уганя̒є,"
1_Kolessa_Melodii_1969,1,12,,"За̒ стремена̒ хвата̒є,"
1_Kolessa_Melodii_1969,1,13,,"До братів рече̒, слова̒ промовля̒є."
1_Kolessa_Melodii_1969,1,14,,"Ой то рече̒, слова̒ промовля̒є,"
1_Kolessa_Melodii_1969,1,15,,Брата̒ми назива̒є:
1_Kolessa_Melodii_1969,1,16,,"«Ой бра̒ти рідне̒нькі,"
1_Kolessa_Melodii_1969,1,17,,"Голу̒боньки сиве̒нькі,"
1_Kolessa_Melodii_1969,1,18,,"Та ста̒ньте ви, хоч ма̒ло підождіте!"
1_Kolessa_Melodii_1969,1,19,,"Гей, хоч ма̒ло підождіте,"
1_Kolessa_Melodii_1969,1,20,,Мене̒ міждо се̒бе
1_Kolessa_Melodii_1969,1,21,,"На ко̒ні возьміте,"
1_Kolessa_Melodii_1969,1,22,,А хоч ма̒ло верст підвезіте».
1_Kolessa_Melodii_1969,1,23,,"Ей, середу̒щий брат"
1_Kolessa_Melodii_1969,1,24,,"А ще до̒бре дба̒є,"
1_Kolessa_Melodii_1969,1,25,,"До ста̒ршого коня̒ поверта̒є,"
1_Kolessa_Melodii_1969,1,26,,Ласка̒ве сло̒во промовля̒є:
1_Kolessa_Melodii_1969,1,27,,"«Ой бра̒те рідне̒нький,"
1_Kolessa_Melodii_1969,1,28,,Голу̒бочку сиве̒нький!
1_Kolessa_Melodii_1969,1,29,,"Ой ста̒ньмо ми, хоч ма̒ло підождімо."
1_Kolessa_Melodii_1969,1,30,,"Ге̒й, хоч ма̒ло підождімо,"
1_Kolessa_Melodii_1969,1,31,,"Міждо се̒бе на ко̒ні возьмімо,"
1_Kolessa_Melodii_1969,1,32,,А хоч ма̒ло верст свого бра̒та підвезімо».
1_Kolessa_Melodii_1969,1,33,,"Ой то ста̒рший ху̒до дба̒є,"
1_Kolessa_Melodii_1969,1,34,,До середу̒щого коня̒ поверта̒є
1_Kolessa_Melodii_1969,1,35,,І ху̒до сло̒во промовля̒є:
1_Kolessa_Melodii_1969,1,36,,"«Чи ма̒єм ми ожида̒ти,"
1_Kolessa_Melodii_1969,1,37,,"То бу̒де за на̒ми туре̒цька, бусурме̒нська,"
1_Kolessa_Melodii_1969,1,38,,"А тяжка̒ нево̒ля вганя̒ти,"
1_Kolessa_Melodii_1969,1,39,,На̒ше тіло сікти та руба̒ти.
1_Kolessa_Melodii_1969,1,40,,"Ой то на̒ше тіло сікти та руба̒ти,"
1_Kolessa_Melodii_1969,1,41,,Або бу̒дуть у тя̒жку нево̒лю
1_Kolessa_Melodii_1969,1,42,,"Коне̒м заверта̒ти,"
1_Kolessa_Melodii_1969,1,43,,То лу̒чше нам бра̒та свого ме̒нчого
1_Kolessa_Melodii_1969,1,44,,Та повік у вічі не забача̒ти.
1_Kolessa_Melodii_1969,1,45,,"Ге̒й, то вже̒ нам бра̒та свого ме̒нчого"
1_Kolessa_Melodii_1969,1,46,,Повік у вічі не вба̒чати.
1_Kolessa_Melodii_1969,1,47,,Чи ма̒єм ми те хазя̒йство
1_Kolessa_Melodii_1969,1,48,,"На три ча̒сті розділя̒ти,—"
1_Kolessa_Melodii_1969,1,49,,"Бу̒дем на дво̒х розділя̒ти,"
1_Kolessa_Melodii_1969,1,50,,"Удво̒х паюва̒ти,"
1_Kolessa_Melodii_1969,1,51,,А ба̒тькові-ма̒тері непра̒вду виявля̒ти.
1_Kolessa_Melodii_1969,1,52,,"Ге̒й, то бу̒дем ба̒тькові й ма̒тері"
1_Kolessa_Melodii_1969,1,53,,"Непра̒вду виявля̒ти,"
1_Kolessa_Melodii_1969,1,54,,"Ге̒й, то бу̒дем ми каза̒ти:"
