song_id,stanza,position,title,Text
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,1,Утеча трех братов з Азова,Як на землѣ турецькоѣ
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,2,,Да … вѣры бусурменськоѣ
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,3,,Из города из Озова
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,4,,На пыли… туманы вставали.
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,5,,Тѣкав повчок
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,6,,Малый невеличок
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,7,,"Тѣкало три братики рѣдненькѣ,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,8,,Три товаришѣ сердешнѣ
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,9,,"Два конных, третій пѣший-пѣхотинець"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,10,,"За конными бѣжить-подбѣгає,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,11,,"Кров слѣды заливає,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,12,,"За стремена хватає,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,13,,Словами промовляє:
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,14,,"«Браттє миле, браттє любе!"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,15,,"Хоть один вы милосердіє майте,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,16,,"… , кульбаки, добыч из коней скидайте,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,17,,"Мене, брата пѣхотинця, мѣждо конѣ берѣте,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,18,,Хоч милю верст увезѣте
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,19,,"И дороженьку укажѣте,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,20,,"Нехай я буду знати,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,21,,Куды за вами нами в городы християнськѣ з тяжкоѣ неволѣ втѣкати».
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,22,,То старший брат згорда словами промовляє:
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,23,,"«Чи подобенство, мой брате,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,24,,"Щоб я своє добро турецьке на шляху покидав,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,25,,"Тебе, труп, на коня брав?"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,26,,"Одначе мы сами не втечемо,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,27,,"Нѣ тебе не ввеземо,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,28,,"Будуть Крымцѣ та Нагайцѣ, безбожнѣ бусурмены,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,29,,"Тебе, пѣшого пѣхотинця, на спочинках минати,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,30,,А нас будуть коньми доганяти
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,31,,И назад у Турещину завертати».
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,32,,"То брат пѣший-пѣхотинець за конными бѣжить-подбѣгає,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,33,,"Чорный пожар под бѣлѣ ноги подгортає,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,34,,Словами примовляє:
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,35,,"«Браттє любе, браттє миле!"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,36,,"Хоч один же вы милосердіє майте,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,37,,Назад коней завертайте
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,38,,"З похов шаблѣ выймайте,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,39,,"Менѣ, брату меншому, пѣшому-пѣхотинцю, з плѣч голову здоймайте"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,40,,"В чистому полѣ поховайте,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,41,,Заіру-птицѣ на поталу не подайте».
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,42,,То брат старший згорда словами промовляє:
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,43,,"«Чи подобенство, брате, тебе рубати?"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,44,,"Одначе шабля не возьме,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,45,,"Рука не зведеться,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,46,,Тебе рубати!
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,47,,"А як ті жив-здоров будеш,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,48,,Сам у землѣ християнськѣ увойдеш».
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,49,,"То брат найменший, пѣший пѣхотинець, за конными бѣжить-подбѣгає,"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,50,,Словами промовляє:
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,51,,"«Браттє миле, браттє любе!"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,52,,Хоч один же вы милосердіє майте:
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,53,,"Будете до тернѣв, до байраков прибѣгати"
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,54,,Так у боки забѣгайте
1_Kozatski_narodni_dumy_Dumy nevolnykiv_1927,1,55,,Вѣти терновѣ рубайте
