song_id,title,genre,Рік запису,Хто записав,Місце запису,Респондент,Вік респондента/рік народження
І_1_Zbirnyk_narodnykh_pisen,Де є руська вітчина,пісня,,,,,
І_2_Zbirnyk_narodnykh_pisen,Дай нам Боже добрий час,пісня,,,,,
І_3_Zbirnyk_narodnykh_pisen,Де є дім мій,пісня,,,,,
І_4_Zbirnyk_narodnykh_pisen,Козак пана не знав з віка,пісня,,,,,
І_5_Zbirnyk_narodnykh_pisen,Колись Русин з під Бескида,пісня,,,,,
І_6_Zbirnyk_narodnykh_pisen,Щасть нам Боже,пісня,,,,,
І_7_Zbirnyk_narodnykh_pisen,Мир вам братя,пісня,,,,,
І_8_Zbirnyk_narodnykh_pisen,Гей козаче в імя Бога,пісня,1579 р.,,,,
І_9_Zbirnyk_narodnykh_pisen,"Я Русин був, є і буду",пісня,,,,,
І_10_Zbirnyk_narodnykh_pisen,Як я братя раз сконаю,пісня,,,,,
І_11_Zbirnyk_narodnykh_pisen,Там на горі крута вежа,пісня,,,,,
І_12_Zbirnyk_narodnykh_pisen,"Верховино, світку та наш",пісня-коломийка,,,,,
І_13_Zbirnyk_narodnykh_pisen,Красна зоре,пісня,,,,,
І_14_Zbirnyk_narodnykh_pisen,Ти дївчино із Подолля,пісня,,,,,
І_15_Zbirnyk_narodnykh_pisen,Там де Чорна Гора шумно,пісня,,,,,
І_16_Zbirnyk_narodnykh_pisen,Як ніч мя покриє,пісня,,,,,
І_17_Zbirnyk_narodnykh_pisen,Козак коня напував,пісня,,,,,
І_18_Zbirnyk_narodnykh_pisen,Стоїть явір над водою,пісня,,,,,
І_19_Zbirnyk_narodnykh_pisen,Чого лози похилились,пісня,,,із Підгірян,,
І_20_Zbirnyk_narodnykh_pisen,З тої гори високої,пісня,,,,,
І_21_Zbirnyk_narodnykh_pisen,"Ой місяцю, місяченьку",пісня,,,,,
І_22_Zbirnyk_narodnykh_pisen,Далась мене моя мати,пісня,,,,,
І_23_Zbirnyk_narodnykh_pisen,Ой ти поїхав,пісня,,,,,
І_24_Zbirnyk_narodnykh_pisen,І шумить і гуде,пісня,,,,,
І_25_Zbirnyk_narodnykh_pisen,Он відси гора,пісня,,,,,
І_26_Zbirnyk_narodnykh_pisen,Сивий коню,пісня,,,,,
І_27_Zbirnyk_narodnykh_pisen,Тече річка,пісня,,,,,
І_28_Zbirnyk_narodnykh_pisen,Ой ти дївчино зарученая,пісня,,,,,
І_29_Zbirnyk_narodnykh_pisen,А я люблю Петруся,пісня,,,,,
І_30_Zbirnyk_narodnykh_pisen,Ой пішлаб я на музику,пісня,,,,,
І_31_Zbirnyk_narodnykh_pisen,Нїхто не винен,пісня,,,,,
І_32_Zbirnyk_narodnykh_pisen,Ой пійду я до млина,пісня,,,,,
І_33_Zbirnyk_narodnykh_pisen,Бувай здорова,пісня,,,,,
І_34_Zbirnyk_narodnykh_pisen,Коло млина яворина,пісня,,,,,
І_35_Zbirnyk_narodnykh_pisen,Боже з неба високого,пісня,,,,,
І_36_Zbirnyk_narodnykh_pisen,Гей я Козак з України,пісня,,,,,
І_37_Zbirnyk_narodnykh_pisen,Ти козаче чорновусий,пісня,,,,,
І_38_Zbirnyk_narodnykh_pisen,Хто горівку пє,пісня,,,,,
І_39_Zbirnyk_narodnykh_pisen,"Час до дому, час",пісня,,,,,
ІІ_1_Zbirnyk_narodnykh_pisen,Віють вітри,дума-думка,,,,,
ІІ_2_Zbirnyk_narodnykh_pisen,Ах я нещасний,дума-думка,,,,,
ІІ_3_Zbirnyk_narodnykh_pisen,Ой не ходи Грицю,дума-думка,,,,,
ІІ_4_Zbirnyk_narodnykh_pisen,Ах ти доле нещасная,дума-думка,,,,,
ІІ_5_Zbirnyk_narodnykh_pisen,Щож я буду бідний дїяв,дума-думка,,,,,
ІІ_6_Zbirnyk_narodnykh_pisen,Ой за тихими водами,дума-думка,,,,,
ІІ_7_Zbirnyk_narodnykh_pisen,"Із за тори, із за лїса",дума-думка,,,,,
ІІ_8_Zbirnyk_narodnykh_pisen,Цвітка дрібная,дума-думка,,,,,
ІІ_9_Zbirnyk_narodnykh_pisen,Нїс ся місяць,дума-думка,,,,,
ІІ_10_Zbirnyk_narodnykh_pisen,Шуми вітре,дума-думка,,,,,
ІІ_11_Zbirnyk_narodnykh_pisen,Ох ти доле,дума-думка,,,,,
ІІ_12_Zbirnyk_narodnykh_pisen,"Повій вітре, вітресеньку",дума-думка,,,,,
ІІ_13_Zbirnyk_narodnykh_pisen,Повій вітре на Вкраїну,дума-думка,,,,,
ІІ_14_Zbirnyk_narodnykh_pisen,Ой під гаєм Зелененьким,дума-думка,,,,,
ІІІ_І_1_Zbirnyk_narodnykh_pisen,Молодецькі,коломийка любовна,,,,,
ІІІ_І_2_Zbirnyk_narodnykh_pisen,Дївочі,коломийка любовна,,,,,
ІІІ_І_3_Zbirnyk_narodnykh_pisen,Сиротинські,коломийка любовна,,,,,
ІІІ_І_4_Zbirnyk_narodnykh_pisen,Вояцькі,коломийка любовна,,,,,
III_IІ_1_Zbirnyk_narodnykh_pisen,Молодецькі,коломийка жартоблива,,,,,
III_IІ_2_Zbirnyk_narodnykh_pisen,Дївочі,коломийка жартоблива,,,,,
IV_Zbirnyk_narodnykh_pisen,Шумки,шумки,,,,,
V_1_Zbirnyk_narodnykh_pisen,А хто хоче Гандзю знати,співаночка при танцях,,,,,
V_2_Zbirnyk_narodnykh_pisen,Сїм день молотила,співаночка при танцях,,,,,
V_3_Zbirnyk_narodnykh_pisen,З того часу як вженив ся,співаночка при танцях,,,,,
V_4_Zbirnyk_narodnykh_pisen,На щож мене зачіпаєш,співаночка при танцях,,,,,
V_5_Zbirnyk_narodnykh_pisen,Ой Гандзю милостива,співаночка при танцях,,,,,
V_6_Zbirnyk_narodnykh_pisen,"По дорозї жук, жук",співаночка при танцях,,,,,
V_7_Zbirnyk_narodnykh_pisen,"Не топила, не варила",співаночка при танцях,,,,,
VІ_1_Zbirnyk_narodnykh_pisen,"Воротаре, воротаре",гагілка,,,від Золочева,,
VІ_2_Zbirnyk_narodnykh_pisen,"Ой Данчику, Білоданчику",гагілка,,,,,
VІ_3_Zbirnyk_narodnykh_pisen,Ой нїхто там не бував,гагілка,,,,,
VІІ_1_Zbirnyk_narodnykh_pisen,Треба косу розплїтати (Коли брат княгинї косу розплїтає),пісня весїльна,,,від Перемишля,,
VІІ_2_Zbirnyk_narodnykh_pisen,Ой у лузї калина (При вінкоплетеннях),пісня весїльна,,,,,
VІІ_3_Zbirnyk_narodnykh_pisen,Вийди Маланочко молоденькая (Сиротинська),пісня весїльна,,,,,
VІІ_4_Zbirnyk_narodnykh_pisen,Просила Горпинонька (Від стрия),пісня весїльна,,,,,
VІІ_5_Zbirnyk_narodnykh_pisen,Княтинї матіїнонька (Сиротинська),пісня весїльна,,,,,
VІІ_6_Zbirnyk_narodnykh_pisen,Сїяла княгинонька долю,пісня весїльна,,,,,
VІІ_7_Zbirnyk_narodnykh_pisen,Вода луженьки забрала,пісня весїльна,,,,,
VІІ_8_Zbirnyk_narodnykh_pisen,Просила княгинонька,пісня весїльна,,,,,
VІІ_9_Zbirnyk_narodnykh_pisen,"Мовила, говорила",пісня весїльна,,,,,
