song_id,stanza,position,title,Text
І_1_Zbirnyk_narodnykh_pisen,1,1,Де є руська вітчина,Де єсть руська вітчина?
І_1_Zbirnyk_narodnykh_pisen,1,2,,"Де пшеницї, ячмена,"
І_1_Zbirnyk_narodnykh_pisen,1,3,,"І де жита є досить,"
І_1_Zbirnyk_narodnykh_pisen,1,4,,Куда голод не гостить!
І_1_Zbirnyk_narodnykh_pisen,2,5,,"Ой на, на, ой на, на"
І_1_Zbirnyk_narodnykh_pisen,2,6,,Ой там руська вітчина.
І_1_Zbirnyk_narodnykh_pisen,3,7,,"Де молоко, мід тече,"
І_1_Zbirnyk_narodnykh_pisen,3,8,,"Лїс, дуброва, луг цвите,"
І_1_Zbirnyk_narodnykh_pisen,3,9,,"Там де гори, долини"
І_1_Zbirnyk_narodnykh_pisen,3,10,,І тучнії скотини!
І_1_Zbirnyk_narodnykh_pisen,4,11,,"На, на, на, на, на, на"
І_1_Zbirnyk_narodnykh_pisen,4,12,,Ой там руська вітчина.
І_1_Zbirnyk_narodnykh_pisen,5,13,,Там є з чого чересла
І_1_Zbirnyk_narodnykh_pisen,5,14,,"Уклепати до плуга,"
І_1_Zbirnyk_narodnykh_pisen,5,15,,"Ой там і сіль є своя,"
І_1_Zbirnyk_narodnykh_pisen,5,16,,Нею солить чужина!
І_1_Zbirnyk_narodnykh_pisen,6,17,,"На, на, на, на, на, на"
І_1_Zbirnyk_narodnykh_pisen,6,18,,Ой там руська вітчина.
І_1_Zbirnyk_narodnykh_pisen,7,19,,"Де Сян, Днїстер, Буг реве"
І_1_Zbirnyk_narodnykh_pisen,7,20,,"Порогами Днїпр трясе,"
І_1_Zbirnyk_narodnykh_pisen,7,21,,Це щирокі суть степи
І_1_Zbirnyk_narodnykh_pisen,7,22,,Де гуляли Козаки:
І_1_Zbirnyk_narodnykh_pisen,8,23,,"На, на, на, на, на, на"
І_1_Zbirnyk_narodnykh_pisen,8,24,,Ой там руська вітчизна.
І_1_Zbirnyk_narodnykh_pisen,9,25,,"Там де народ молодий,"
І_1_Zbirnyk_narodnykh_pisen,9,26,,"Сильний, кріпкий і мирний,"
І_1_Zbirnyk_narodnykh_pisen,9,27,,Вітцїв віри ся держить
І_1_Zbirnyk_narodnykh_pisen,9,28,,Рідним словом Бога чтить:
І_1_Zbirnyk_narodnykh_pisen,10,29,,"На, на, на, на, на, на"
І_1_Zbirnyk_narodnykh_pisen,10,30,,Ой там руська вітчина.
І_1_Zbirnyk_narodnykh_pisen,11,31,,Де могили з давних лїт
І_1_Zbirnyk_narodnykh_pisen,11,32,,"Пригадують змерлий рід,"
І_1_Zbirnyk_narodnykh_pisen,11,33,,Де старих батьків дїла
І_1_Zbirnyk_narodnykh_pisen,11,34,,Одягає дум краса:
І_1_Zbirnyk_narodnykh_pisen,12,35,,"На, на, на, на, на, на"
І_1_Zbirnyk_narodnykh_pisen,12,36,,Ой там руська вітчина.
І_1_Zbirnyk_narodnykh_pisen,13,37,,Така руська вітчина:
І_1_Zbirnyk_narodnykh_pisen,13,38,,Над ню лучшої нема
І_1_Zbirnyk_narodnykh_pisen,13,39,,"Всего, всего єсть досить"
І_1_Zbirnyk_narodnykh_pisen,13,40,,Аж ся серце веселить!
І_1_Zbirnyk_narodnykh_pisen,14,41,,"На, на, на, на, на, на"
І_1_Zbirnyk_narodnykh_pisen,14,42,,Така руська вітчина!
І_2_Zbirnyk_narodnykh_pisen,1,1,Дай нам Боже добрий час,"Дай нам Боже добрий час,"
І_2_Zbirnyk_narodnykh_pisen,1,2,,"Як у людий, так у нас,"
І_2_Zbirnyk_narodnykh_pisen,1,3,,"І в щасливу годину,"
І_2_Zbirnyk_narodnykh_pisen,1,4,,Розвеселїм родину;
І_2_Zbirnyk_narodnykh_pisen,2,5,,"Ой, ну, ну, ой ну, ну,"
І_2_Zbirnyk_narodnykh_pisen,2,6,,Розвеселїм родину!
І_2_Zbirnyk_narodnykh_pisen,3,7,,"Ви матери з батьками,"
І_2_Zbirnyk_narodnykh_pisen,3,8,,"Поставайле враз з нами,"
І_2_Zbirnyk_narodnykh_pisen,3,9,,"Возьміть збан в середину,"
І_2_Zbirnyk_narodnykh_pisen,3,10,,Розвеселїм родину:
І_2_Zbirnyk_narodnykh_pisen,4,11,,"Ой ну ну, ой ну ну,"
І_2_Zbirnyk_narodnykh_pisen,4,12,,Розвеселїм родину.
І_2_Zbirnyk_narodnykh_pisen,5,13,,"Ви малиї пондраки,"
І_2_Zbirnyk_narodnykh_pisen,5,14,,Витинайте гопаки
І_2_Zbirnyk_narodnykh_pisen,5,15,,"Нуже живо, нуже ну,"
І_2_Zbirnyk_narodnykh_pisen,5,16,,Розвеселїм родину:
І_2_Zbirnyk_narodnykh_pisen,6,17,,"Ой ну ну, ой ну ну,"
І_2_Zbirnyk_narodnykh_pisen,6,18,,Розвеселїм родину.
І_2_Zbirnyk_narodnykh_pisen,7,19,,Ви дївчата з хлопцями
І_2_Zbirnyk_narodnykh_pisen,7,20,,"Поставайте враз з нами,"
І_2_Zbirnyk_narodnykh_pisen,7,21,,В так щасливу годину
І_2_Zbirnyk_narodnykh_pisen,7,22,,Розвеселїм родину:
І_2_Zbirnyk_narodnykh_pisen,8,23,,"Ой ну ну, ой ну ну,"
І_2_Zbirnyk_narodnykh_pisen,8,24,,Розвеселїм родину.
І_2_Zbirnyk_narodnykh_pisen,9,25,,"Веселого хлопака,"
І_2_Zbirnyk_narodnykh_pisen,9,26,,"Всегда міна однака,"
І_2_Zbirnyk_narodnykh_pisen,9,27,,Натре в бідї чуприну
І_2_Zbirnyk_narodnykh_pisen,9,28,,І веселить родину:
І_2_Zbirnyk_narodnykh_pisen,10,29,,"Ой ну ну, ой ну ну,"
І_2_Zbirnyk_narodnykh_pisen,10,30,,І веселить родину:
І_2_Zbirnyk_narodnykh_pisen,11,31,,"Най журить ся богатий,"
І_2_Zbirnyk_narodnykh_pisen,11,32,,"Де подїти дукати,"
І_2_Zbirnyk_narodnykh_pisen,11,33,,"Я хоть бідний, не згину,"
І_2_Zbirnyk_narodnykh_pisen,11,34,,Бо веселю родину:
І_2_Zbirnyk_narodnykh_pisen,12,35,,"Ой ну ну, ой ну ву,"
І_2_Zbirnyk_narodnykh_pisen,12,36,,Бо веселю родину.
І_2_Zbirnyk_narodnykh_pisen,13,37,,"Чиє серце єсть тверде,"
І_2_Zbirnyk_narodnykh_pisen,13,38,,"Най собі від нас іде,"
І_2_Zbirnyk_narodnykh_pisen,13,39,,"Най іде він в чужину,"
І_2_Zbirnyk_narodnykh_pisen,13,40,,Во він смутить родину!
І_2_Zbirnyk_narodnykh_pisen,14,41,,"Ой ну ну, ой ну ну,"
І_2_Zbirnyk_narodnykh_pisen,14,42,,Бо він смутить родину.
І_2_Zbirnyk_narodnykh_pisen,15,43,,"А так станьмо всї вколо,"
І_2_Zbirnyk_narodnykh_pisen,15,44,,Заспіваймо весело:
І_2_Zbirnyk_narodnykh_pisen,15,45,,Най Бог в кожду годину
І_2_Zbirnyk_narodnykh_pisen,15,46,,Розвеселить родину:
І_2_Zbirnyk_narodnykh_pisen,16,47,,"Ой ну ну, ой ну ну,"
І_2_Zbirnyk_narodnykh_pisen,16,48,,Розвеселить родину.
І_2_Zbirnyk_narodnykh_pisen,17,49,,"В нас родина вся одна,"
І_2_Zbirnyk_narodnykh_pisen,17,50,,"Українонька свята,"
І_2_Zbirnyk_narodnykh_pisen,17,51,,"Чи опанча, чи сердак,"
І_2_Zbirnyk_narodnykh_pisen,17,52,,"Чи Гудул, чи Подоляк!"
І_2_Zbirnyk_narodnykh_pisen,18,53,,"Ой так, так, ой так, так,"
І_2_Zbirnyk_narodnykh_pisen,18,54,,"Чи Гуцул, чи Подоляк!"
І_2_Zbirnyk_narodnykh_pisen,19,55,,"Де Днїстер, де Сян і Прут,"
І_2_Zbirnyk_narodnykh_pisen,19,56,,"Наші річеньки пливуть,"
І_2_Zbirnyk_narodnykh_pisen,19,57,,І від Буга за Бескид
І_2_Zbirnyk_narodnykh_pisen,19,58,,Всюди чесний руський рід.
І_2_Zbirnyk_narodnykh_pisen,20,59,,"Ой наш рід, руський рід."
І_2_Zbirnyk_narodnykh_pisen,20,60,,Хоть підеш і за Бескид!
І_2_Zbirnyk_narodnykh_pisen,21,61,,"Най щезає вся біда,"
І_2_Zbirnyk_narodnykh_pisen,21,62,,Най жиє нам свобода!
І_2_Zbirnyk_narodnykh_pisen,21,63,,"Руські люди, руський край,"
І_2_Zbirnyk_narodnykh_pisen,21,64,,Руська мова і звичай.
І_2_Zbirnyk_narodnykh_pisen,22,65,,"Ой наш край, руський край,"
І_2_Zbirnyk_narodnykh_pisen,22,66,,Руська мова і звичай!
І_3_Zbirnyk_narodnykh_pisen,1,1,Де є дім мій,"Де дім є мій, де жизнь моя?"
І_3_Zbirnyk_narodnykh_pisen,1,2,,"Там де Днїстер бистротечний,"
І_3_Zbirnyk_narodnykh_pisen,1,3,,"Безпредїльний, безконечний, -"
І_3_Zbirnyk_narodnykh_pisen,1,4,,Там де Сян і Буг і Прут
І_3_Zbirnyk_narodnykh_pisen,1,5,,В руслах текуть:
І_3_Zbirnyk_narodnykh_pisen,1,6,,"Там сторона моя рідна,"
І_3_Zbirnyk_narodnykh_pisen,2,7,,"Де дім є мій, де жизнь моя?"
І_3_Zbirnyk_narodnykh_pisen,2,8,,"Там де храми віковії,"
І_3_Zbirnyk_narodnykh_pisen,2,9,,"І памятники святії,"
І_3_Zbirnyk_narodnykh_pisen,2,10,,І церковний наш обряд
І_3_Zbirnyk_narodnykh_pisen,2,11,,О минувшім говорять:
І_3_Zbirnyk_narodnykh_pisen,2,12,,Там сторона моя рідна
І_3_Zbirnyk_narodnykh_pisen,2,13,,І мій дім і жизнь моя!
І_3_Zbirnyk_narodnykh_pisen,3,14,,"Де дім є мій, де жизнь моя?"
І_3_Zbirnyk_narodnykh_pisen,3,15,,"Де кургани і могили,"
І_3_Zbirnyk_narodnykh_pisen,3,16,,"Городища старожилї,"
І_3_Zbirnyk_narodnykh_pisen,3,17,,"Прах богатирів хранять,"
І_3_Zbirnyk_narodnykh_pisen,3,18,,Де Бояни наші спять:
І_3_Zbirnyk_narodnykh_pisen,3,19,,Там сторона моя рідна
І_3_Zbirnyk_narodnykh_pisen,3,20,,"І мій дім, і жизнь моя!"
І_3_Zbirnyk_narodnykh_pisen,4,21,,"Де дім є мій, де жизнь моя?"
І_3_Zbirnyk_narodnykh_pisen,4,22,,"Де Мстислав, Роман, Данило,"
І_3_Zbirnyk_narodnykh_pisen,4,23,,"Лев, послїдне світило,"
І_3_Zbirnyk_narodnykh_pisen,4,24,,Край і віру стерегли
І_3_Zbirnyk_narodnykh_pisen,4,25,,Від ворогів і гибелі:
І_3_Zbirnyk_narodnykh_pisen,4,26,,Там сторона моя рідна
І_3_Zbirnyk_narodnykh_pisen,4,27,,"І мій дім, і живнь моя!"
І_3_Zbirnyk_narodnykh_pisen,5,28,,"Де дім є мій, де жизнь моя?"
І_3_Zbirnyk_narodnykh_pisen,5,29,,"До народ сердечний, добрий,"
І_3_Zbirnyk_narodnykh_pisen,5,30,,"В битвах сильний і хоробрий,"
І_3_Zbirnyk_narodnykh_pisen,5,31,,Вірний славі давних днїв;
І_3_Zbirnyk_narodnykh_pisen,5,32,,Всякий час співає о тія:
І_3_Zbirnyk_narodnykh_pisen,5,33,,"Там сторона моя рідна,"
І_3_Zbirnyk_narodnykh_pisen,5,34,,"Дім там мій, і жизнь моя!"
І_3_Zbirnyk_narodnykh_pisen,6,35,,"Де дім є мій, де жизнь моя?"
І_3_Zbirnyk_narodnykh_pisen,6,36,,"Там де мама батько старенький,"
І_3_Zbirnyk_narodnykh_pisen,6,37,,"Сестри, братчик молоденький,"
І_3_Zbirnyk_narodnykh_pisen,6,38,,В смирній хатинї жиють!
І_3_Zbirnyk_narodnykh_pisen,6,39,,І мене з тугою ждуть:
І_3_Zbirnyk_narodnykh_pisen,6,40,,"Там ах, там сторона рідна"
І_3_Zbirnyk_narodnykh_pisen,6,41,,І мій дім і жизнь моя!
І_3_Zbirnyk_narodnykh_pisen,7,42,,"Де дім є мій, де жизнь моя?"
І_3_Zbirnyk_narodnykh_pisen,7,43,,"Де Русинка молода,"
І_3_Zbirnyk_narodnykh_pisen,7,44,,"Жалібно співа,"
І_3_Zbirnyk_narodnykh_pisen,7,45,,"Золоте жито жне,"
І_3_Zbirnyk_narodnykh_pisen,7,46,,Де краса моя живе:
І_3_Zbirnyk_narodnykh_pisen,7,47,,Там сторона моя рідна.
І_3_Zbirnyk_narodnykh_pisen,7,48,,"Там мій дім, і жизнь моя!"
І_4_Zbirnyk_narodnykh_pisen,1,1,Козак пана не знав з віка,Козак пана не знав з віка
І_4_Zbirnyk_narodnykh_pisen,1,2,,"Він родив ся на степах,"
І_4_Zbirnyk_narodnykh_pisen,1,3,,"Став ся птахом з чоловіка,"
І_4_Zbirnyk_narodnykh_pisen,1,4,,"Зріє у кіньських стременах,"
І_4_Zbirnyk_narodnykh_pisen,2,5,,"Коли часом змучив ноги,"
І_4_Zbirnyk_narodnykh_pisen,2,6,,"Під медведем в снїгу спав,"
І_4_Zbirnyk_narodnykh_pisen,2,7,,То на кождий гук тревоги
І_4_Zbirnyk_narodnykh_pisen,2,8,,Сотню татар навязав.
І_4_Zbirnyk_narodnykh_pisen,3,9,,"Ой рад би я тоє знати,"
І_4_Zbirnyk_narodnykh_pisen,3,10,,"Чи на світї такий зріс,"
І_4_Zbirnyk_narodnykh_pisen,3,11,,"Що не став би утїкати,"
І_4_Zbirnyk_narodnykh_pisen,3,12,,Перед лїсом наших спис.
І_4_Zbirnyk_narodnykh_pisen,4,13,,"Нам найлучше у природї,"
І_4_Zbirnyk_narodnykh_pisen,4,14,,"Пуща — лїжко, небо — стріп,"
І_4_Zbirnyk_narodnykh_pisen,4,15,,"Кінь у боку на поводї,"
І_4_Zbirnyk_narodnykh_pisen,4,16,,На янчарцї вусів сніп.
І_4_Zbirnyk_narodnykh_pisen,5,17,,"А атаман скоро свисне,"
І_4_Zbirnyk_narodnykh_pisen,5,18,,"Вже козака лук давенить,"
І_4_Zbirnyk_narodnykh_pisen,5,19,,"А як коня в ногах стисне,"
І_4_Zbirnyk_narodnykh_pisen,5,20,,То всї вітри догонить.
І_4_Zbirnyk_narodnykh_pisen,6,21,,"Коли козак в врагом бєть ся,"
І_4_Zbirnyk_narodnykh_pisen,6,22,,"Серце клепче як коса,"
І_4_Zbirnyk_narodnykh_pisen,6,23,,"А як козак засмієть ся,"
І_4_Zbirnyk_narodnykh_pisen,6,24,,То сміють ся небеса.
І_4_Zbirnyk_narodnykh_pisen,7,25,,"Ой щасливий, хто родив ся"
І_4_Zbirnyk_narodnykh_pisen,7,26,,"На пустинї козаком,"
І_4_Zbirnyk_narodnykh_pisen,7,27,,"Найщасливший, хто влюбив ся"
І_4_Zbirnyk_narodnykh_pisen,7,28,,В дївчинонці над Днїпром.
І_5_Zbirnyk_narodnykh_pisen,1,1,Колись Русин з під Бескида,Колись Русин з під Бескида
І_5_Zbirnyk_narodnykh_pisen,1,2,,"Так тяженько не думав,"
І_5_Zbirnyk_narodnykh_pisen,1,3,,"Бо ся в лучшім щастю видїв,"
І_5_Zbirnyk_narodnykh_pisen,1,4,,Злої долї він не знав:
І_5_Zbirnyk_narodnykh_pisen,2,5,,Але того щастя мати
І_5_Zbirnyk_narodnykh_pisen,2,6,,"Давно в темнім гробі спить,"
І_5_Zbirnyk_narodnykh_pisen,2,7,,Не хочу їй споминати -
І_5_Zbirnyk_narodnykh_pisen,2,8,,Бо жаль серце розранить!
І_5_Zbirnyk_narodnykh_pisen,3,9,,"Сонце скрило ясні лучі,"
І_5_Zbirnyk_narodnykh_pisen,3,10,,"Що галяцький гріли край,"
І_5_Zbirnyk_narodnykh_pisen,3,11,,А нещастя рясні тучі
І_5_Zbirnyk_narodnykh_pisen,3,12,,"Зляли ся на руський край,"
І_5_Zbirnyk_narodnykh_pisen,4,13,,Як з облаків чорні хмари
І_5_Zbirnyk_narodnykh_pisen,4,14,,"Шлють на землю град і грім,"
І_5_Zbirnyk_narodnykh_pisen,4,15,,Так на руський рід Татари
І_5_Zbirnyk_narodnykh_pisen,4,16,,Смерть і згубу несли всїм.
І_5_Zbirnyk_narodnykh_pisen,5,17,,Відки ранна сходить зори
І_5_Zbirnyk_narodnykh_pisen,5,18,,І новий свитає день
І_5_Zbirnyk_narodnykh_pisen,5,19,,Там з далека Чорноморя
І_5_Zbirnyk_narodnykh_pisen,5,20,,Меч нас нищив і огень;
І_5_Zbirnyk_narodnykh_pisen,6,21,,"Видїв Русин, як з городїв"
І_5_Zbirnyk_narodnykh_pisen,6,22,,"Дим ся в облак підносив,"
І_5_Zbirnyk_narodnykh_pisen,6,23,,Як з побитих многих родів
І_5_Zbirnyk_narodnykh_pisen,6,24,,Чорний потік крови плив!
І_5_Zbirnyk_narodnykh_pisen,7,25,,"Видїв як міста богато,"
І_5_Zbirnyk_narodnykh_pisen,7,26,,"Красні села рабував,"
І_5_Zbirnyk_narodnykh_pisen,7,27,,Бранцїв з вітцївської хати
І_5_Zbirnyk_narodnykh_pisen,7,28,,Поганин в неволю гнав;
І_5_Zbirnyk_narodnykh_pisen,8,29,,А старенький отець рідний
І_5_Zbirnyk_narodnykh_pisen,8,30,,"В гірких слезах ся купав,"
І_5_Zbirnyk_narodnykh_pisen,8,31,,"Потрачених дїтий, бідний"
І_5_Zbirnyk_narodnykh_pisen,8,32,,Із неволї виглядав.
І_5_Zbirnyk_narodnykh_pisen,9,33,,Коли мати в день і в ночи
І_5_Zbirnyk_narodnykh_pisen,9,34,,"Проливала слезний здрій,"
І_5_Zbirnyk_narodnykh_pisen,9,35,,Не могла по сину — дочи
І_5_Zbirnyk_narodnykh_pisen,9,36,,Утулити жаль тяжкий;
І_5_Zbirnyk_narodnykh_pisen,10,37,,"Жена вірна свого друга,"
І_5_Zbirnyk_narodnykh_pisen,10,38,,"Муж дружини виглядав,"
І_5_Zbirnyk_narodnykh_pisen,10,39,,Дїтям тяжка серцю туга;
І_5_Zbirnyk_narodnykh_pisen,10,40,,"Отця, матїр ворог взяв!"
І_5_Zbirnyk_narodnykh_pisen,11,41,,"І вкладав на них окови,"
І_5_Zbirnyk_narodnykh_pisen,11,42,,"- »Рідний краю, будь здоровий,"
І_5_Zbirnyk_narodnykh_pisen,11,43,,"Гонив в степи, в пущі, в Крим:"
І_5_Zbirnyk_narodnykh_pisen,11,44,,Вже тя більше не узрим!«
І_5_Zbirnyk_narodnykh_pisen,12,45,,Дармо Русин із чужини
І_5_Zbirnyk_narodnykh_pisen,12,46,,"До домоньку іздихав,"
І_5_Zbirnyk_narodnykh_pisen,12,47,,Дармо з вітром до родини
І_5_Zbirnyk_narodnykh_pisen,12,48,,Жаль тяженький посилав.
І_5_Zbirnyk_narodnykh_pisen,13,49,,"В його землї все спустїло,"
І_5_Zbirnyk_narodnykh_pisen,13,50,,"Лиш плач чути по лїсах,"
І_5_Zbirnyk_narodnykh_pisen,13,51,,"Поле трупом ся покрило,"
І_5_Zbirnyk_narodnykh_pisen,13,52,,"Всюди сумно, плач і страх...!"
І_5_Zbirnyk_narodnykh_pisen,14,53,,"В церквах Божа мовчить хвала,"
І_5_Zbirnyk_narodnykh_pisen,14,54,,Не голосить в свята дзвін;
І_5_Zbirnyk_narodnykh_pisen,14,55,,"Земля плодів не видала,"
І_5_Zbirnyk_narodnykh_pisen,14,56,,Облогом лежить загін!
І_5_Zbirnyk_narodnykh_pisen,15,57,,"Лиш усипані могили,"
