song_id,title,genre,Рік запису,Хто записав,Місце запису,Респондент,Вік респондента/рік народження
764_Pisni_Zuikhy_1965_,"ПИЛА, ПИЛА ТА Й НЕМЕРІВНА НА МЕДУ",балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
765_Pisni_Zuikhy_1965_,"НІХТО НЕ ЗНАЄ, ПО ЯКІЙ ПРИЧИНІ",балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
766_Pisni_Zuikhy_1965_,ОЙ КОЗАЧЕ-БУРЛАЧЕ,балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
767_Pisni_Zuikhy_1965_,НЕ ЖАЛЬ МЕНІ ТА Й НІ НА КОГО,балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
768_Pisni_Zuikhy_1965_,ЖИЛА ВДОВА НА РОЗДОЛІ,балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
769_Pisni_Zuikhy_1965_,ЗАЖУРИЛАСЯ МОЛОДАЯ ВДІВОНЬКА,балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
770_Pisni_Zuikhy_1965_,"ЇХАВ, ЇХАВ КОВАЛЕНКО",балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
774_Pisni_Zuikhy_1965_,А ХТО В КОРШМІ П’Є? ТУРОК ТА ПОЛЯК,балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
775_Pisni_Zuikhy_1965_,ОЙ У МІСТІ НА РИНОЧКУ,балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
776_Pisni_Zuikhy_1965_,"ОЙ УЧОРА ІЗВЕЧОРА, З ПОЛОВИНИ ДНЯ",балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
777_Pisni_Zuikhy_1965_,ОЙ ГАНУСЮ ПРЕПОДОБНА,балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
782_Pisni_Zuikhy_1965_,"ОЙ ПОВІЙ, ВІТРОНЬКУ",балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
786_Pisni_Zuikhy_1965_,"ОЙ СЯДУ Я КРАЙ ВІКОНЦЯ, ГЕЙ",балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
791_Pisni_Zuikhy_1965_,ОЙ ХОДИТЬ ІВАН ПОНАД ЛИМАН,балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
760_Pisni_Zuikhy_1965_,ОЙ ЗА ГАЄМ ЗЕЛЕНЕНЬКИМ,балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
761_Pisni_Zuikhy_1965_,ЗА ДУНАЄМ ШИРОКИМ,балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
763_Pisni_Zuikhy_1965_,ОЙ ПОЇХАВ КОРОЛЕВИЧ НА ПОЛЮВАННЯ,балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
771_Pisni_Zuikhy_1965_,ЩО ЦЕ СТАЛА ЗА ПРИЧИНА,балади,,Hnat Tantsiura,"Ziatkivtsi, Vinnytska oblast",Yavdokha Zuikha,1855
