song_id,pos,title,Text
764_Pisni_Zuikhy_1965_,1,"ПИЛА, ПИЛА ТА Й НЕМЕРІВНА НА МЕДУ","Пила, пила та й Немерівна на меду"
764_Pisni_Zuikhy_1965_,2,,Та пропила та свою дочку молоду.
764_Pisni_Zuikhy_1965_,3,,"— А хто купить гарнець меду, вина — два,"
764_Pisni_Zuikhy_1965_,4,,Того буде Немерівна молода.
764_Pisni_Zuikhy_1965_,5,,Обізвався пан Василькович молодий:
764_Pisni_Zuikhy_1965_,6,,"— А я куплю гарнець меду, вина — два."
764_Pisni_Zuikhy_1965_,7,,"А я куплю гарнець меду, вина — два,"
764_Pisni_Zuikhy_1965_,8,,То вже ж моя буде Немерівна молода.
764_Pisni_Zuikhy_1965_,9,,"— Ой за що ти, моя мамцю, щодня п'єш?"
764_Pisni_Zuikhy_1965_,10,,Десь ти мене молодую продаєш.
764_Pisni_Zuikhy_1965_,11,,"— Ой продаю, моя доню, продаю"
764_Pisni_Zuikhy_1965_,12,,Молодому пану Васильковичу за жону.
764_Pisni_Zuikhy_1965_,13,,"— Ой не хочу, моя мамцю, не хочу,"
764_Pisni_Zuikhy_1965_,14,,Лучче піду в бистру річку ускочу.
764_Pisni_Zuikhy_1965_,15,,"А в неділю ранесенько, чуть на світ,"
764_Pisni_Zuikhy_1965_,16,,Мандрувала дівчинонька в білий світ.
764_Pisni_Zuikhy_1965_,17,,"Мандрувала дівчинонька в білий світ,"
764_Pisni_Zuikhy_1965_,18,,А за нею пан Василькович в її слід.
764_Pisni_Zuikhy_1965_,19,,"Ой пішла Немерівна горою,"
764_Pisni_Zuikhy_1965_,20,,А за нею пан Василькович другою.
764_Pisni_Zuikhy_1965_,21,,"Ой вернися, дівчинонько, куди йдеш?"
764_Pisni_Zuikhy_1965_,22,,Десь ти в мене хліба й солі не маєш.
764_Pisni_Zuikhy_1965_,23,,"— Ой єсть в тебе хліба й солі доволі,"
764_Pisni_Zuikhy_1965_,24,,"— А ти, пан Василькович, не до мислі до мої."
764_Pisni_Zuikhy_1965_,25,,"— Ой чого ти, Немерівно, боса йдеш?"
764_Pisni_Zuikhy_1965_,26,,Десь ти в мене черевичок не маєш.
764_Pisni_Zuikhy_1965_,27,,"— Ой єсть в тебе черевички, то — твої,"
764_Pisni_Zuikhy_1965_,28,,"Не до мислі, пан Василькович, ти мені."
764_Pisni_Zuikhy_1965_,29,,"Ой тікала Немерівна горою,"
764_Pisni_Zuikhy_1965_,30,,А заі нею пан Василькович другою.
764_Pisni_Zuikhy_1965_,31,,"— Ой чого ти, Немерівно, пішки йдеш?"
764_Pisni_Zuikhy_1965_,32,,Десь ти в мене сірих коней не маєш.
764_Pisni_Zuikhy_1965_,33,,"— Ой єсть в тебе сиві коні, то — твої,"
764_Pisni_Zuikhy_1965_,34,,"Не до мислі, пан Василькович, ти мені."
764_Pisni_Zuikhy_1965_,35,,"— Ой вернися, дівчинонько, додому,"
764_Pisni_Zuikhy_1965_,36,,Вчеплю тебе коникові гнідому.
764_Pisni_Zuikhy_1965_,37,,"Ой скочила Немерівна у росу,"
