song_id,title,genre,Рік запису,Хто записав,Місце запису,Респондент,Вік респондента/рік народження
1,A HE БУДЕ ДОЩ ІТИ БЕЗ ХМАРИ,"календарно-обрядова, русальні, петрівчані, купальські",1969,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",Валентина Півнюк,
2,"A-А, ЛЮЛІ","родинно-побутові, колискові та дитячі",1964,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",,
3,А БРАТ СЕСТРИЦЮ ТА Й РОЗПЛІТАЄ,"родинно-обрядові, весільні",,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",,
4,А В ДЯДЬКА ТИМКА ГАРНАЯ ЖОНА,"календарно-обрядова, колядки та щедрівки",1962,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",Софія Присяжнюк,
5,А В КРИВОГО ТАНЦЯ,"календарно-обрядова, веснянка",1962,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",,
6,А В НЕДІЛЮ ПОРАНЕНЬКУ Й УСІ ДЗВОНИ ДЗВОНЯТЬ,"соціально-побутові, бурлацькі, наймитські, пісні про панщину",1928,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",Ганна Присяжнюк,
7,А В НЕДІЛЮ РАНО УСІ ДЗВОНИ ДЗВОНЯТЬ,"родинно-побутові, пісні родинного життя",,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",,
8,А В НЕДІЛЮ РАНО-ВРАНЦІ УСІ ДЗВОНИ ДЗВОНЯТЬ,"соціально-побутові, бурлацькі, наймитські, пісні про панщину",1960,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",Софія Присяжнюк,
9,"А В ПОЛІ БЕРЕЗА ЗЕЛЕНА, КУДРЯВА","родинно-побутові, пісні про кохання",1964,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",,
10,А В ПОЛІ КОРШОМКА МУРОМ МУРОВАНА,"родинно-побутові, пісні про кохання",1962,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",,
11,А В ПОНЕДІЛОК РАНЕНЬКО,"родинно-обрядові, весільні",,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",,
12,А В СТАРШОЇ ДРУЖКИ,"родинно-обрядові, весільні",,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",,
13,А В СУСІДА ХАТА БІЛА,жартівливі та сатиричні,1964,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",,
14,А В ЧИСТІМ ПОЛІ ТА КРАЙ ДОРОГИ,"календарно-обрядова, колядки та щедрівки",1968,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",Марія Пікула,
15,А В ЧУЖІМ ДОМІ БУБНИ Б’ЮТЬ,"родинно-обрядові, весільні",,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",,
16,А В ЧУЖОГО ПАНА ТА Й ДОДОМУ ПОРА,"календарно-обрядова, жнивні",1962,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",Параска Грузь,
17,"А ВЖЕ ВЕСНА, А ВЖЕ КРАСНА","календарно-обрядова, веснянка",1962,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",,
18,А ВЖЕ ВОЗИКИ ПООБЕРТАНІ,"родинно-обрядові, весільні",,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",,
19,А ВЖЕ СОНЦЕ ПІД ГРУШАМИ,"календарно-обрядова, жнивні",1962,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",,
20,"А ВЖЕ СОНЦЕ СХОДЕ, НИЗЕНЬКО ЗАХОДЕ","родинно-побутові, пісні про кохання",1962,Nastia Prysiazhniuk,"Pohrebyshche, Vinnytska oblast",,
