song_id,pos,title,Text
35,1,"А МИ ПРОСО СІЯЛИ, СІЯЛИ","А ми просо сіяли, сіяли,"
35,2,,"А ми просо сіяли, сіяли,"
35,3,,"Ой дід-ладо, сіяли, сіяли."
35,4,,"Ой дід-ладо, сіяли, сіяли."
35,5,,"А ми просо витопчем, витопчем,"
35,6,,"А ми просо витопчем, витопчем,"
35,7,,"Ой дід-ладо, витопчем, витопчем."
35,8,,"Ой дід-ладо, витопчем, витопчем."
35,9,,"А чим же вам витоптать, витоптать?"
35,10,,"А чим же вам витоптать, витоптать?"
35,11,,"Ой дід-ладо, витоптать, витоптать."
35,12,,"Ой дід-ладо, витоптать, витоптать."
35,13,,"А ми коней пустимо, пустимо,"
35,14,,"А ми коней пустимо, пустимо,"
35,15,,"Ой дід-ладо, пустимо, пустимо."
35,16,,"Ой дід-ладо, пустимо, пустимо."
35,17,,"А ми коней займемо, займемо,"
35,18,,"А ми коней займемо, займемо,"
35,19,,"Ой дід-ладо, займемо, займемо."
35,20,,"Ой дід-ладо, займемо, займемо."
35,21,,"А як же ви займете, займете?"
35,22,,"А як же ви займете, займете?"
35,23,,"Ой дід-ладо, займете, займете."
35,24,,"Ой дід-ладо, займете, займете."
35,25,,"А шовковим поводом, поводом,"
35,26,,"А шовковим поводом, поводом,"
35,27,,"Ой дід-ладо, поводом, поводом."
35,28,,"Ой дід-ладо, поводом, поводом."
35,29,,"А ми коней викупим, викупим,"
35,30,,"А ми коней викупим, викупим,"
35,31,,"Ой дід-ладо, викупим, викупим."
35,32,,"Ой дід-ладо, викупим, викупим."
35,33,,"А чим же ви викупите, викупите?"
35,34,,"А чим же ви викупите, викупите?"
35,35,,"Ой дід-ладо, викупите, викупите."
35,36,,"Ой дід-ладо, викупите, викупите."
35,37,,"А ми дамо сто рублів, сто рублів,"
35,38,,"А ми дамо сто рублів, сто рублів,"
35,39,,"Ой дід-ладо, сто рублів, сто рублів."
35,40,,"Ой дід-ладо, сто рублів, сто рублів."
35,41,,"Не треба нам сто рублів, сто рублів,"
35,42,,"Не треба нам сто рублів, сто рублів,"
35,43,,"Ой дід-ладо, сто рублів, сто рублів."
35,44,,"Ой дід-ладо, сто рублів, сто рублів."
35,45,,"А чого ви хочете, хочете?"
35,46,,"А чого ви хочете, хочете?"
35,47,,"Ой дід-ладо, хочете, хочете."
35,48,,"Ой дід-ладо, хочете, хочете."
35,49,,"А дай нам дівчину, дівчину,"
35,50,,"А дай нам дівчину, дівчину,"
35,51,,"Ой дід-ладо, дівчину, дівчину."
35,52,,"Ой дід-ладо, дівчину, дівчину."
35,53,,"Не дамо ми дівчину, дівчину,"
35,54,,"Не дамо ми дівчину, дівчину,"
35,55,,"Ой дід-ладо, дівчину, дівчину."
35,56,,"Ой дід-ладо, дівчину, дівчину."
35,57,,"Одчиняймо ворота, ворота,"
35,58,,"Одчиняймо ворота, ворота,"
35,59,,"Ой дід-ладо, ворота, ворота."
35,60,,"Ой дід-ладо, ворота, ворота."
35,61,,"Забираймо дівчину, дівчину,"
35,62,,"Забираймо дівчину, дівчину,"
35,63,,"Ой дід-ладо, дівчину, дівчину."
35,64,,"Ой дід-ладо, дівчину, дівчину."
117,1,"ВОЛОДАР, ВОЛОДАР","Володар, володар,"
117,2,,Чи вдома господар?
117,3,,"Нема його вдома,"
117,4,,Поїхав по дрова.
117,5,,Ой чиє ж то дитя
117,6,,На конику сидить?
117,7,,Що воно держить?
117,8,,Червонеє яблучко.
117,9,,Чим воно має?
117,10,,Золотим конем грає.
118,1,"ВОЛОДАР, ВОЛОДАР","Володар, володар,"
118,2,,Чи вдома господар?
118,3,,"Нема його вдома,"
118,4,,Поїхав по вола.
118,5,,Сукон вибивати.
118,6,,Сукон вибивати.
118,7,,Дівок вибирати.
118,8,,По чому дівонька?
118,9,,По сто рублів кісонька.
118,10,,По сто рублів кісонька.
118,11,,А по двісті дівонька.
661,1,"ОЙ, ОЙ, ОЙ БІДНА Ж МОЯ ТА ГОЛОВОНЬКА",Добрий день.
661,2,,Доброго здоров’я.
661,3,,Де милий?
661,4,,Поїхав по дрова.
661,5,,"Ой, ой, ой бідна ж моя та головонька,"
661,6,,Нещаслива моя доленька!
661,7,,Що ж бо я та й наробила?
661,8,,Миленького розгнівила.
661,9,,Добрий день.
661,10,,Доброго здоров’я.
661,11,,Де милий?
661,12,,Приїхав з дровами
661,13,,"Ой, ой, ой бідна ж моя та головонька,"
661,14,,Нещаслива моя доленька!
661,15,,Що ж бо я та й наробила?
661,16,,Миленького розгнівила.
661,17,,Добрий день.
661,18,,Доброго здоров’я.
661,19,,Де милий?
661,20,,Слабий лежить
661,21,,"Ой, ой, ой бідна ж моя та головонька,"
661,22,,Нещаслива моя доленька!
661,23,,Що ж бо я та й наробила?
661,24,,Миленького розгнівила.
661,25,,Добрий день.
661,26,,Доброго здоров’я.
661,27,,Де милий?
661,28,,Милий помер
661,29,,"Слава тобі, христе-царю,"
661,30,,Що мій милий на цвинтарю!
661,31,,"І гарбузом подзвонила,"
661,32,,"І редькою покадила,"
661,33,,"І морквою посвітила,"
661,34,,"І ногами притоптала,"
661,35,,І руками приплескала:
661,36,,"Лежи, милий, в ямі,"
661,37,,Не лай моїй мамі!
661,38,,"Лежи, милий, в ямі,"
661,39,,Не лай моїй мамі!
267,1,МАК,"При долині мак,"
267,2,,"При широкій мак,"
267,3,,"Корінчастий, головчастий."
267,4,,"Молодії молодиці,"
267,5,,"Не ходіте по улиці,"
267,6,,"Станьте ви в ряд,"
267,7,,"Тут буде мак,"
267,8,,Тут буде мак.
267,9,,День добрий!
267,10,,Добрий день!
267,11,,Вже скопали на мак?
267,12,,Вже скопали.
267,13,,При долині мак...
267,14,,Чи вже заскородили на мак?
267,15,,Заскородили.
267,16,,Чи вже посіяли мак?
267,17,,Посіяли.
267,18,,Чи зійшов мак?
267,19,,Вже зійшов.
267,20,,Чи пропололи мак?
267,21,,Вже пропололи.
267,22,,Чи цвіте мак?
267,23,,Вже цвіте.
267,24,,Чи зжали мак?
267,25,,Вже зжали.
267,26,,Чи потеребили мак?
267,27,,Вже потеребили.
470,1,ОЙ НА ГОРІ ЛЬОН,"Ой на горі льон,"
470,2,,А в долині мак.
470,3,,"Маківочки-голубочки,"
470,4,,"Зійдіться ви докупочки,"
470,5,,"Станьте ви так,"
470,6,,"Як на горі мак,"
470,7,,Як на горі мак.
470,8,,Вже скопали на мак?
470,9,,Вже скопали.
470,10,,Ой на горі льон...
470,11,,Вже посіяли мак?
470,12,,Вже посіяли.
470,13,,Вже спололи мак?
470,14,,Вже спололи.
470,15,,Вже зжали мак?
470,16,,Вже зжали.
470,17,,Змолотили мак?
470,18,,Змолотили.
139,1,ГОРОБЕЙЧИК,"Горобейчику, шпачку, шпачку,"
139,2,,"Чи бував же ти в нашім садку,"
139,3,,"Чи видав же ти, як копають на мак?"
139,4,,"Ой бував же я,"
139,5,,Та й видав же я:
139,6,,"Ой так, так копають на мак,"
139,7,,"Ой так, так копають на мак."
139,8,,"Горобейчику, шпачку, шпачку,"
139,9,,"Чи бував же ти в нашім садку,"
139,10,,"Чи видав же ти, як сіють мак?"
139,11,,"Ой бував же я,"
139,12,,Та й видав же я:
139,13,,"Ой так, так сіють мак,"
139,14,,"Ой так, так сіють мак."
139,15,,"Горобейчику, шпачку, шпачку,"
139,16,,"Чи бував же ти в нашім садку,"
139,17,,"Чи видав же ти, як росте мак?"
139,18,,"Ой бував же я,"
139,19,,Та й видав же я:
139,20,,"Ой так, так росте мак,"
139,21,,"Ой так, так росте мак."
139,22,,"Горобейчику, шпачку, шпачку,"
139,23,,"Чи бував же ти в нашім садку,"
139,24,,"Чи видав же ти, як полють мак?"
139,25,,"Ой бував же я,"
139,26,,Та й видав же ж я:
139,27,,"Ой так, так полють мак,"
139,28,,"Ой так, так полють мак."
139,29,,"Горобейчику, шпачку, шпачку,"
139,30,,"Чи бував же ти в нашім садку,"
139,31,,"Чи видав же ти, як жнуть мак?"
139,32,,"Ой бував же я,"
139,33,,Та й видав же ж я:
139,34,,"Ой так, так жнуть той мак,"
139,35,,"Ой так, так жнуть той мак."
139,36,,"Горобейчику, шпачку, шпачку,"
139,37,,"Чи бував же ти в нашім садку,"
139,38,,"Чи видав же ти, як їдять мак?"
139,39,,Ой бував же я.
139,40,,Та й видав же я:
139,41,,"Ой так, так їдять мак,"
139,42,,"Ой так, так їдять мак."
54,1,"А ШУМ ХОДИТЬ, ПО ВОДІ БРОДИТЬ","А шум ходить, по воді бродить,"
54,2,,А шумиха рибу ловить.
54,3,,"Що заробила, те й пропила,"
54,4,,Дочці шуби не зробила.
54,5,,"Пожди, доню, до понеділка,"
54,6,,Буде шуба й фартушинка.
54,7,,"Зажди, дівко, до вівторка,"
54,8,,Буде шуба і шнуровка.
54,9,,"Зажди, дівко, до середи,"
54,10,,Буде шуба і переди.
54,11,,"Зажди, дівко, до четверга,"
54,12,,Буде шуба ще й нова.
54,13,,"Зажди, дівко, до п’ятниці,"
54,14,,Буде шуба на вечорниці.
54,15,,"Зажди, дівко, до суботи,"
54,16,,Буде шуба до роботи.
54,17,,"Зажди, дівко, до неділі,"
54,18,,Буде шуба й фартух білий.
54,19,,"Вже й неділя минає,"
54,20,,Дочка шуби не має.
194,1,ЗЕЛЕНИЙ ШУМ,"Гей, нумо, нумо, заплітати шума,"
194,2,,А в нашого шума зеленая шуба.
194,3,,"А шум ходить, по воді бродить,"
194,4,,А шумиха рибу ловить.
194,5,,"Що заробила, те й пропила,"
194,6,,Дочці шуби не зробила.
194,7,,"Пожди, доню, до суботи,"
194,8,,Буде шуба й червоні чоботи.
194,9,,"Вже й субота минає,"
194,10,,Дочка шуби не має.
194,11,,"Пожди, доню, до неділі,"
194,12,,Буде шуба й фартух білий.
194,13,,"Вже неділя минає,"
194,14,,Дочка шуби не має.
194,15,,А в неділю сонце сходить
194,16,,Шумина дочка боса ходить.
341,1,"НУМО, НУМО, ЗАПЛІТАЙМО ШУМА","Нумо, нумо, заплітаймо шума."
341,2,,"А шум ходить, по воді бродить,"
341,3,,А шумиха рибу ловить.
341,4,,"Що зробила, те й пропила."
341,5,,Дочці шуби не справила.
341,6,,"А справила, та й та коротенька,"
341,7,,"Хоч коротенька, аби хорошенька."
341,8,,"Чекай, доню, до суботи,"
341,9,,Буде шуба ще й чоботи.
341,10,,"Вже й субота минає,"
341,11,,В дочки чобіт немає.
